ts,requestId,entrypoint,eventType,rpcMethod,level,message
2026-05-11T10:09:32.112Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted workspace invocation lease expired; clearing stale in-flight state."
2026-05-11T10:09:32.112Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner workspace invocation failed."
2026-05-11T10:09:32.112Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner cleared stale local invocation so pending nudge can drain."
2026-05-11T10:09:32.112Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner immediate wake drive failed; durable alarm fallback remains scheduled."
2026-05-11T10:09:32.131Z,<REDACTED_REQUEST_ID>,RunnerContainer,rpc,destroyInstance,warn,"Hosted execution container failed."
2026-05-11T10:09:32.131Z,<REDACTED_REQUEST_ID>,RunnerContainer,rpc,destroyInstance,error,"Error proxying request to container <CONTAINER_ID>: Error: workspace invocation container destroyed"
2026-05-11T10:09:32.471Z,<REDACTED_REQUEST_ID>,RunnerContainer,alarm,,info,"Hosted execution container lifecycle hook reported stop."
2026-05-11T10:09:34.202Z,<REDACTED_REQUEST_ID>,RunnerContainer,alarm,,info,"Hosted execution container lifecycle hook reported start."
2026-05-11T10:10:21.271Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted workspace invocation lease expired; clearing stale in-flight state."
2026-05-11T10:10:21.271Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner workspace invocation failed."
2026-05-11T10:10:21.271Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner cleared stale local invocation so pending nudge can drain."
2026-05-11T10:10:21.271Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner immediate wake drive failed; durable alarm fallback remains scheduled."
2026-05-11T10:10:21.291Z,<REDACTED_REQUEST_ID>,RunnerContainer,rpc,destroyInstance,error,"Error proxying request to container <CONTAINER_ID>: Error: workspace invocation container destroyed"
2026-05-11T10:10:22.606Z,<REDACTED_REQUEST_ID>,RunnerContainer,alarm,,error,"Hosted execution container lifecycle hook reported an error. Hosted execution runtime failed. Detail: Network connection lost."
2026-05-11T10:10:22.606Z,<REDACTED_REQUEST_ID>,RunnerContainer,alarm,,error,"Internal error in Durable Object storage caused object to be reset."
2026-05-11T10:15:55.481Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted workspace invocation lease expired; clearing stale in-flight state."
2026-05-11T10:15:55.481Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner workspace invocation failed."
2026-05-11T10:15:55.481Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner cleared stale local invocation so pending nudge can drain."
2026-05-11T10:15:55.481Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner immediate wake drive failed; durable alarm fallback remains scheduled."
2026-05-11T10:15:55.501Z,<REDACTED_REQUEST_ID>,RunnerContainer,rpc,destroyInstance,error,"Error proxying request to container <CONTAINER_ID>: Error: workspace invocation container destroyed"
2026-05-11T10:16:21.468Z,<REDACTED_REQUEST_ID>,RunnerContainer,alarm,,error,"Hosted execution container lifecycle hook reported an error. Hosted execution runtime failed. Detail: Network connection lost."
2026-05-11T10:16:21.468Z,<REDACTED_REQUEST_ID>,RunnerContainer,alarm,,error,"Internal error in Durable Object storage caused object to be reset."
2026-05-11T10:16:50.189Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted workspace invocation lease expired; clearing stale in-flight state."
2026-05-11T10:16:50.189Z,<REDACTED_REQUEST_ID>,UserRunnerDurableObject,alarm,,warn,"Hosted runner workspace invocation failed."
